40,9,15,45,8,18
58,9,27,68,7,24
40,10,18,47,9,20
30,7,10,38,6,16
31,8,9,39,8,16
34,8,17,47,8,20
26,6,9,29,8,12
38,8,15,42,8,16
41,9,17,45,4,22
51,9,23,57,6,21
44,10,20,50,9,21
53,11,24,62,9,21
45,10,22,48,9,24
48,10,21,53,9,21
54,8,22,60,6,21
33,7,11,44,8,18
53,9,24,55,8,23
45,11,22,52,8,20
42,8,17,52,8,19
46,10,19,48,9,18
68,13,21,72,8,18
61,8,20,56,7,18
54,6,19,64,6,17
55,8,17,58,8,18
62,6,16,65,7,12
57,7,20,63,6,18
55,7,18,56,7,19
44,7,19,53,7,20
52,9,19,58,7,20
32,6,11,49,9,19
46,9,20,52,7,20
48,7,18,62,6,19
52,11,23,57,9,24
67,10,24,68,6,19
43,10,19,51,8,20
42,10,19,51,9,20
50,8,19,63,7,16
54,11,23,60,7,18
47,9,21,64,6,19
47,8,19,54,8,20
52,9,21,58,7,18
50,10,22,56,8,22
64,6,19,65,6,17
67,9,19,68,6,13
52,6,16,62,4,14
73,6,21,70,6,21
66,7,17,70,6,17
53,6,17,61,5,19
63,9,21,67,7,18
64,8,20,68,6,16
67,9,19,71,8,19
68,9,15,69,9,13
55,10,21,62,7,18
65,7,19,68,-11,15
71,8,12,70,6,13
70,5,15,72,4,13
68,5,20,67,5,18
62,6,21,65,6,20
69,6,20,71,5,17
71,6,13,67,4,12
66,6,21,71,4,16
51,8,20,62,6,23
63,9,19,70,6,17
72,6,15,77,5,15
62,8,18,66,7,18
64,7,20,67,5,15
67,8,16,67,8,12
64,8,18,72,5,12
69,9,27,83,6,21
58,10,23,66,7,20
63,9,22,64,7,20
66,7,22,69,6,18
73,6,7,78,7,9
62,8,12,69,7,10
58,8,16,65,5,12
67,11,20,72,8,16
65,8,16,71,8,16
71,6,13,74,8,12
66,6,15,71,8,14
59,10,20,66,3,13
65,9,21,70,5,15
66,8,18,74,6,14
66,6,22,74,5,16
71,6,19,77,6,13
55,6,21,71,4,17
63,11,25,71,7,19
53,9,22,65,7,18
49,8,16,62,8,17
61,8,21,67,5,15
57,8,16,59,8,14
48,9,19,57,8,13
49,10,24,61,7,20
58,12,24,65,8,19
60,9,22,65,7,19
58,9,20,63,8,17
55,11,24,66,10,15
57,9,18,67,8,17
57,10,22,57,10,18
51,10,20,58,8,20
55,9,24,64,6,15
61,10,21,66,9,22
62,9,22,71,6,16
57,9,22,62,6,19
60,8,20,64,7,18
63,0,20,67,5,15
52,11,22,58,8,21
