11F,67,52,32
11E,67,52,30
11D,71,51,33
11C,74,49,35
11B,73,48,36
11A,76,47,42
10F,86,68,38
10E,89,66,40
10D,91,65,42
10C,95,64,46
10B,98,63,48
10A,98,62,52
9F,107,85,49
9E,110,82,50
9D,114,81,54
9C,113,79,55
9B,117,78,62
9A,118,73,69
8F,123,100,62
8E,127,97,65
8D,131,97,66
8C,134,97,69
8B,138,93,78
8A,141,91,80
7F,142,116,75
7E,145,113,79
7D,150,114,83
7C,153,112,86
7B,159,110,91
7A,159,107,96
6F,162,133,93
6E,163,131,96
6D,165,129,99
6C,172,128,103
6B,173,127,105
6A,176,124,111
5F,178,152,111
5E,181,149,115
5D,184,147,117
5C,187,145,119
5B,190,143,121
5A,194,141,131
4F,192,165,129
4E,197,165,133
4D,199,164,133
4C,201,164,139
4B,204,161,145
4A,207,159,147
3F,208,184,152
3E,210,182,151
3D,214,182,155
3C,216,180,161
3B,216,178,160
3A,219,175,168
2F,222,201,176
2E,222,199,175
2D,225,200,177
2C,228,198,180
2B,231,196,186
2A,231,196,186
1F,231,216,198
1E,234,216,198
1D,234,216,198
1C,237,213,202
1B,238,213,202
1A,239,212,202
